2B,410,AER,2965,KZN,2990,,0,CR2,95.87
2B,410,ASF,2966,KZN,2990,,0,CR2,76.35
2B,410,ASF,2966,MRV,2962,,0,CR2,80.30
2B,410,CEK,2968,KZN,2990,,0,CR2,70.77
2B,410,CEK,2968,OVB,4078,,0,CR2,85.09
2B,410,DME,4029,KZN,2990,,0,CR2,22.39
2B,410,DME,4029,NBC,6969,,0,CR2,93.42
2B,410,DME,4029,TGK,\N,,0,CR2,98.25
2B,410,DME,4029,UUA,6160,,0,CR2,65.28
2B,410,EGO,6156,KGD,2952,,0,CR2,43.00
2B,410,EGO,6156,KZN,2990,,0,CR2,39.17
2B,410,GYD,2922,NBC,6969,,0,CR2,29.08
2B,410,KGD,2952,EGO,6156,,0,CR2,49.94
2B,410,KZN,2990,AER,2965,,0,CR2,85.38
2B,410,KZN,2990,ASF,2966,,0,CR2,58.74
2B,410,KZN,2990,CEK,2968,,0,CR2,38.77
2B,410,KZN,2990,DME,4029,,0,CR2,72.57
2B,410,KZN,2990,EGO,6156,,0,CR2,73.38
2B,410,KZN,2990,LED,2948,,0,CR2,20.13
2B,410,KZN,2990,SVX,2975,,0,CR2,46.51
2B,410,LED,2948,KZN,2990,,0,CR2,24.54
2B,410,LED,2948,NBC,6969,,0,CR2,24.04
2B,410,LED,2948,UUA,6160,,0,CR2,32.41
2B,410,MRV,2962,ASF,2966,,0,CR2,20.14
2B,410,NBC,6969,DME,4029,,0,CR2,95.51
2B,410,NBC,6969,GYD,2922,,0,CR2,60.08
2B,410,NBC,6969,LED,2948,,0,CR2,51.61
2B,410,NBC,6969,SVX,2975,,0,CR2,25.84
2B,410,NJC,2972,SVX,2975,,0,CR2,27.93
2B,410,NJC,2972,UUA,6160,,0,CR2,49.35
2B,410,NUX,4364,SVX,2975,,0,CR2,78.35
2B,410,OVB,4078,CEK,2968,,0,CR2,56.38
2B,410,OVB,4078,SVX,2975,,0,CR2,78.74
2B,410,SVX,2975,KZN,2990,,0,CR2,81.77
2B,410,SVX,2975,NBC,6969,,0,CR2,53.97
2B,410,SVX,2975,NJC,2972,,0,CR2,91.21
2B,410,SVX,2975,NUX,4364,,0,CR2,99.31
2B,410,SVX,2975,OVB,4078,,0,CR2,67.97
2B,410,TGK,\N,DME,4029,,0,CR2,94.30
2B,410,UUA,6160,DME,4029,,0,CR2,60.39
2B,410,UUA,6160,LED,2948,,0,CR2,59.70
2B,410,UUA,6160,NJC,2972,,0,CR2,53.68
2G,1654,BTK,2936,IKT,2937,,0,A81,23.87
2G,1654,BTK,2936,OVB,4078,,0,A81,46.86
2G,1654,CEK,2968,OVB,4078,,0,A81,88.87
2G,1654,HTA,2935,IKT,2937,,0,AN4,48.49
2G,1654,IKT,2937,BTK,2936,,0,A81,74.41
2G,1654,IKT,2937,HTA,2935,,0,AN4,52.68
2G,1654,IKT,2937,KCK,\N,,0,AN4,63.25
2G,1654,IKT,2937,ODO,8944,,0,AN4,69.88
2G,1654,IKT,2937,OVB,4078,,0,A81,79.67
2G,1654,IKT,2937,UKX,6924,,0,AN4,24.52
2G,1654,IKT,2937,ULK,9026,,0,AN4,37.84
2G,1654,IKT,2937,YKS,2923,,0,A81,54.93
2G,1654,KCK,\N,IKT,2937,,0,AN4,88.32
2G,1654,MJZ,2925,OVB,4078,,0,A81,32.04
2G,1654,ODO,8944,IKT,2937,,0,AN4,70.90
2G,1654,OVB,4078,BTK,2936,,0,A81,66.88
2G,1654,OVB,4078,CEK,2968,,0,A81,76.24
2G,1654,OVB,4078,IKT,2937,,0,A81,64.36
2G,1654,UKX,6924,IKT,2937,,0,AN4,70.41
2G,1654,ULK,9026,IKT,2937,,0,AN4,93.66
2G,1654,YKS,2923,IKT,2937,,0,A81,34.12
2I,8359,AYP,2786,LIM,2789,,0,142,69.34
2I,8359,CUZ,2812,LIM,2789,,0,142 141,92.15
2I,8359,CUZ,2812,PEM,2808,,0,142,36.61
2I,8359,HUU,6067,LIM,2789,,0,141,31.92
2I,8359,IQT,2801,PCL,2781,,0,143,48.97
2I,8359,IQT,2801,TPP,2806,,0,142,22.07
2I,8359,LIM,2789,AYP,2786,,0,142,48.12
2I,8359,LIM,2789,CUZ,2812,,0,142 141,54.21
2I,8359,LIM,2789,HUU,6067,,0,141,44.76
2I,8359,LIM,2789,PCL,2781,,0,143 146,84.72
2I,8359,LIM,2789,TPP,2806,,0,142 146,71.43
2I,8359,PCL,2781,IQT,2801,,0,143,74.36
2I,8359,PCL,2781,LIM,2789,,0,143 146,39.28
2I,8359,PCL,2781,TPP,2806,,0,146,53.48
2I,8359,PEM,2808,CUZ,2812,,0,142,43.09
2I,8359,TPP,2806,IQT,2801,,0,142,36.07
2I,8359,TPP,2806,LIM,2789,,0,142 146,54.53
2I,8359,TPP,2806,PCL,2781,,0,146,45.40
2J,470,ABJ,253,BOY,247,,0,CRJ,89.03
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,99.98
2J,470,ACC,248,OUA,246,,0,CRJ,40.21
2J,470,BKO,1044,ABJ,253,,0,M87,28.53
2J,470,BKO,1044,DKR,1084,,0,M87,43.95
2J,470,BKO,1044,OUA,246,,0,CRJ,27.37
2J,470,BOY,247,ABJ,253,,0,CRJ,29.50
2J,470,BOY,247,OUA,246,,0,CRJ,95.20
2J,470,COO,245,LFW,298,,0,M87,73.06
2J,470,COO,245,OUA,246,,0,M87,66.01
2J,470,DKR,1084,BKO,1044,,0,M87,45.77
2J,470,DKR,1084,OUA,246,,0,M87,43.95
2J,470,LFW,298,OUA,246,,0,M87 CRJ,60.46
2J,470,NIM,280,OUA,246,,0,CRJ,39.72
2J,470,OUA,246,ABJ,253,,0,E70 CRJ M87,90.06
2J,470,OUA,246,ACC,248,,0,CRJ,65.28
2J,470,OUA,246,BKO,1044,,0,M87 CRJ,74.32
2J,470,OUA,246,BOY,247,,0,CRJ,84.69
2J,470,OUA,246,COO,245,,0,M87,24.15
2J,470,OUA,246,DKR,1084,,0,M87,39.83
2J,470,OUA,246,LFW,298,,0,CRJ,75.93
2J,470,OUA,246,NIM,280,,0,CRJ,89.09
2K,1338,BOG,2709,GYE,2673,,0,319,43.94
2K,1338,BOG,2709,UIO,2688,,0,319 320,47.70
2K,1338,CLO,2715,GYE,2673,,0,319,71.58
2K,1338,GYE,2673,BOG,2709,,0,319,84.32
2K,1338,GYE,2673,CLO,2715,,0,319,76.29
2K,1338,GYE,2673,SCY,6045,,0,319 320,57.91
2K,1338,GYE,2673,UIO,2688,,0,320 319,25.73
2K,1338,OCC,2670,UIO,2688,,0,319,98.98
2K,1338,SCY,6045,GYE,2673,,0,319 320,78.06
2K,1338,UIO,2688,BOG,2709,,0,319 320,66.63
2K,1338,UIO,2688,GYE,2673,,0,319,52.49
2K,1338,UIO,2688,OCC,2670,,0,319,60.00
2L,2750,BDS,1506,ZRH,1678,,0,100,70.97
2L,2750,BOD,1264,ZRH,1678,,0,100,81.38
2L,2750,BRS,490,ZRH,1678,,0,100,79.12
2L,2750,GVA,1665,LPA,1054,,0,319,72.61
2L,2750,LCA,1197,ZRH,1678,,0,319,86.15
2L,2750,LPA,1054,ZRH,1678,,0,319,84.13
